source,day,total_mtm,total_settle,slice_mtm,post100_mtm_delta,max_drawdown,peak_ts,trough_ts,peak_to_final,stress_50,stress_100,stress_200,final_pos_vv,final_pos_v5,final_pos_v52,final_pos_v53,final_pos_v54
stable_v52c80,1,31350.0,36862.0,3664.0,27686.0,-13241.0,623800,733900,0.0,30632.0,22332.0,5732.0,-200,-45,-61,-60,0
aggressive_regime,1,34741.0,40253.0,3664.0,31077.0,-15772.0,623800,733900,44.5,34023.0,25723.0,9123.0,-200,-45,-61,-60,0
mark67_gate,1,35611.0,41123.0,3664.0,31947.0,-15772.0,623800,733900,44.5,34893.0,26593.0,9993.0,-200,-45,-61,-60,0
mark55_14_gate,1,34905.0,40417.0,3664.0,31241.0,-15772.0,623800,733900,44.5,34187.0,25887.0,9287.0,-200,-45,-61,-60,0
mark_combo_gate,1,35976.0,41488.0,3664.0,32312.0,-15772.0,623800,733900,44.5,35258.0,26958.0,10358.0,-200,-45,-61,-60,0
stable_v52c80,2,23028.0,28478.0,10088.0,12940.0,-10810.0,239100,266400,8425.5,17248.0,5748.0,-17252.0,-200,-90,-80,-60,0
aggressive_regime,2,27092.0,32542.0,11157.0,15935.0,-12482.0,239100,266400,8381.5,21312.0,9812.0,-13188.0,-200,-90,-80,-60,0
mark67_gate,2,28582.0,34032.0,11081.0,17501.0,-12271.0,239100,266400,8308.0,22802.0,11302.0,-11698.0,-200,-90,-80,-60,0
mark55_14_gate,2,26392.0,31842.0,9438.0,16954.0,-12190.0,239100,266400,8308.0,20612.0,9112.0,-13888.0,-200,-90,-80,-60,0
mark_combo_gate,2,28419.0,33869.0,9459.0,18960.0,-12028.0,239100,266400,8308.0,22639.0,11139.0,-11861.0,-200,-90,-80,-60,0
stable_v52c80,3,26602.0,26602.0,9000.5,17601.5,-10761.5,917200,949400,5248.5,26602.0,26602.0,26602.0,200,0,0,0,0
aggressive_regime,3,29552.0,29552.0,10331.5,19220.5,-12542.0,935700,949400,5414.0,29552.0,29552.0,29552.0,200,0,0,0,0
mark67_gate,3,29483.0,29483.0,10331.5,19151.5,-12542.0,935700,949400,5414.0,29483.0,29483.0,29483.0,200,0,0,0,0
mark55_14_gate,3,29630.0,29630.0,10331.5,19298.5,-12542.0,935700,949400,5414.0,29630.0,29630.0,29630.0,200,0,0,0,0
mark_combo_gate,3,30638.0,30638.0,10331.5,20306.5,-12542.0,935700,949400,5414.0,30638.0,30638.0,30638.0,200,0,0,0,0
live_full_487393,live,30698.75,30698.75,10300.296875,20398.453125,-12464.572143554688,935700,949400,5333.6629638671875,30698.75,30698.75,30698.75,200,0,0,0,0
live_slice_490085,live,10300.296875,10300.296875,10300.296875,0.0,-3901.3446044921875,3500,9100,368.140625,10300.296875,10300.296875,10300.296875,17,0,0,0,0
