variant,settle_sum,delta_settle,delta_post100,days_improved,worst_day_delta,slice_sum,slice_ratio,mdd_worst,mdd_ratio,stress100_delta,stress200_delta,passes_main
delay70_cancel2,125004.0,20366.0,13247.0,3,598.0,25375.5,1.0119235140470162,-15938.0,1.01052498097895,10636.0,-10824.0,False
delay70_cancel4,124976.0,20338.0,12630.0,3,3259.0,25964.5,1.0354116403804359,-15938.0,1.01052498097895,10608.0,-10852.0,False
delay80_cancel2,124555.0,19917.0,11667.0,3,2090.0,26506.5,1.0570255019639903,-15938.0,1.01052498097895,10187.0,-11273.0,False
delay80_cancel4,123364.0,18726.0,11379.0,3,3993.0,25603.5,1.0210156919825335,-15938.0,1.01052498097895,8996.0,-12464.0,False
delay70_cancel6,122769.0,18131.0,17243.0,3,2081.0,25964.5,1.0354116403804359,-15772.0,1.0,18131.0,18131.0,True
delay60_cancel2,122001.5,17363.5,13134.0,3,1015.5,25350.5,1.0109265647119814,-15772.0,1.0,12721.0,185.5,False
delay55_cancel4,120770.0,16132.0,15978.0,3,2485.0,25230.5,1.0061412079038143,-15772.0,1.0,16132.0,16132.0,True
delay55_cancel2,120632.0,15994.0,15446.0,3,953.0,25624.5,1.0218531294239628,-15772.0,1.0,15994.0,15994.0,True
delay70_cancel8,119610.0,14972.0,14084.0,2,-1489.0,25964.5,1.0354116403804359,-15772.0,1.0,14972.0,14972.0,False
delay60_cancel6,119520.0,14882.0,14450.0,3,1400.0,25508.5,1.0172272845094013,-15772.0,1.0,14882.0,14882.0,False
delay55_cancel6,119496.0,14858.0,14704.0,3,2405.0,25230.5,1.0061412079038143,-15772.0,1.0,14858.0,14858.0,False
delay60_cancel4,119271.0,14633.0,14081.0,3,183.0,25508.5,1.0172272845094013,-15772.0,1.0,14633.0,14060.0,False
delay80_cancel6,119163.0,14525.0,13998.0,3,2327.0,25603.5,1.0210156919825335,-15772.0,1.0,14525.0,14525.0,False
delay60_cancel8,119003.0,14365.0,13933.0,3,883.0,25508.5,1.0172272845094013,-15772.0,1.0,14365.0,14365.0,False
delay35_cancel2,118965.0,14327.0,12009.0,3,2329.0,27394.5,1.0924371423444261,-15772.0,1.0,14327.0,14327.0,False
delay50_cancel4,118710.0,14072.0,14397.0,3,2614.0,24751.5,0.9870396586445477,-15772.0,1.0,14072.0,14072.0,False
delay55_cancel8,118515.0,13877.0,13723.0,3,1424.0,25230.5,1.0061412079038143,-15772.0,1.0,13877.0,13877.0,False
delay50_cancel2,117927.0,13289.0,12507.0,3,289.0,25858.5,1.0311845751998883,-15772.0,1.0,13289.0,13289.0,False
delay45_cancel2,116422.0,11784.0,11185.0,2,-750.0,25675.5,1.0238869060674336,-15772.0,1.0,11784.0,11784.0,False
delay40_cancel2,116051.0,11413.0,9901.0,3,507.0,26588.5,1.0602954957829043,-15772.0,1.0,11413.0,11413.0,False
delay50_cancel6,115874.0,11236.0,11561.0,3,1427.0,24751.5,0.9870396586445477,-15772.0,1.0,11236.0,11236.0,False
delay45_cancel4,115689.0,11051.0,11565.0,3,444.0,24562.5,0.9795027216716846,-15772.0,1.0,11051.0,11051.0,False
delay80_cancel8,115182.0,10544.0,10017.0,2,-1654.0,25603.5,1.0210156919825335,-15772.0,1.0,10544.0,10544.0,False
delay35_cancel4,114824.0,10186.0,9741.0,3,1247.0,25521.5,1.0177456981636193,-15772.0,1.0,10186.0,10186.0,False
delay50_cancel8,114275.0,9637.0,10285.0,2,-172.0,24428.5,0.9741590732358981,-15772.0,1.0,9637.0,9637.0,False
delay40_cancel4,113838.0,9200.0,8884.0,3,377.0,25392.5,1.0126014395948397,-15772.0,1.0,9200.0,9200.0,False
delay45_cancel6,113104.0,8466.0,8980.0,2,-362.0,24562.5,0.9795027216716846,-15772.0,1.0,8466.0,8466.0,False
delay35_cancel6,112935.0,8297.0,7852.0,3,801.0,25521.5,1.0177456981636193,-15772.0,1.0,8297.0,8297.0,False
delay35_cancel8,112872.0,8234.0,8249.0,3,738.0,25061.5,0.9994018303989791,-15772.0,1.0,8234.0,8234.0,False
delay45_cancel8,112457.0,7819.0,8692.0,2,-1009.0,24203.5,0.965186529220585,-15772.0,1.0,7819.0,7819.0,False
delay40_cancel8,111675.0,7037.0,7114.0,2,-306.0,24999.5,0.9969293960480928,-15772.0,1.0,7037.0,7037.0,False
delay40_cancel6,111582.0,6944.0,6628.0,2,-399.0,25392.5,1.0126014395948397,-15772.0,1.0,6944.0,6944.0,False
baseline,104638.0,0.0,0.0,0,0.0,25076.5,1.0,-15772.0,1.0,0.0,0.0,False
