variant,settle_3d,delta_vs_balanced_3d,delta_hy_vs_balanced_3d,hy_pnl_3d,post100_3d,stress100_3d,stress200_3d,delta_stress100_vs_balanced,delta_stress200_vs_balanced,max_mdd_abs,max_mdd_ratio_vs_balanced,days_better_than_balanced,worst_day_delta,d1_delta,d2_delta,d3_delta,d1_settle,d2_settle,d3_settle,d1_hy,d2_hy,d3_hy,end_hy_d1,end_hy_d2,end_hy_d3,status
balanced_ship,198915.5,0.0,0.0,27046.0,129512.0,140875.5,43715.5,0.0,0.0,16402.0,1.0,0,0.0,0.0,0.0,0.0,73330.5,55368.0,70217.0,13615.0,4082.0,9349.0,0,13,2,BASELINE
hy_extblock_edge2_300_700_pos1,198144.5,-771.0,-771.0,26275.0,128741.0,140104.5,42944.5,-771.0,-771.0,16270.0,1.0,1,-509.0,-509.0,183.0,-445.0,72821.5,55551.0,69772.0,13106.0,4265.0,8904.0,0,13,2,FAIL
hy_extblock_edge2_300_800_pos1,198144.5,-771.0,-771.0,26275.0,128741.0,140104.5,42944.5,-771.0,-771.0,16270.0,1.0,1,-509.0,-509.0,183.0,-445.0,72821.5,55551.0,69772.0,13106.0,4265.0,8904.0,0,13,2,FAIL
hy_extblock_edge2_200_700_pos1,197976.5,-939.0,-939.0,26107.0,128573.0,139936.5,42776.5,-939.0,-939.0,16270.0,1.0,1,-609.0,-513.0,183.0,-609.0,72817.5,55551.0,69608.0,13102.0,4265.0,8740.0,0,13,2,FAIL
hy_extblock_edge2_200_800_pos1,197976.5,-939.0,-939.0,26107.0,128573.0,139936.5,42776.5,-939.0,-939.0,16270.0,1.0,1,-609.0,-513.0,183.0,-609.0,72817.5,55551.0,69608.0,13102.0,4265.0,8740.0,0,13,2,FAIL
hy_extblock_edge3_300_700_pos1,197786.5,-1129.0,-1129.0,25917.0,128383.0,139746.5,42586.5,-1129.0,-1129.0,16254.0,1.0,1,-769.0,-581.0,221.0,-769.0,72749.5,55589.0,69448.0,13034.0,4303.0,8580.0,0,13,3,FAIL
hy_extblock_hard_300_700_pos11,197541.5,-1374.0,-1374.0,25672.0,128138.0,139501.5,42341.5,-1374.0,-1374.0,16250.0,1.0,1,-1210.0,-545.0,381.0,-1210.0,72785.5,55749.0,69007.0,13070.0,4463.0,8139.0,0,13,4,FAIL
hy_extblock_hard_300_700_pos5,196756.5,-2159.0,-2159.0,24887.0,127353.0,138716.5,41556.5,-2159.0,-2159.0,16250.0,1.0,1,-1621.0,-1141.0,603.0,-1621.0,72189.5,55971.0,68596.0,12474.0,4685.0,7728.0,0,13,4,FAIL
hy_extblock_hard_300_700_pos1,195178.5,-3737.0,-3737.0,23309.0,125775.0,137138.5,39978.5,-3737.0,-3737.0,16466.0,1.0039019631752226,1,-2382.0,-1987.0,632.0,-2382.0,71343.5,56000.0,67835.0,11628.0,4714.0,6967.0,0,13,4,FAIL
hy_extblock_hard_300_800_pos1,193911.5,-5004.0,-5004.0,22042.0,124508.0,135871.5,38711.5,-5004.0,-5004.0,16666.0,1.016095598097793,1,-3241.0,-3241.0,911.0,-2674.0,70089.5,56279.0,67543.0,10374.0,4993.0,6675.0,0,13,4,FAIL
hy_extblock_hard_200_700_pos1,193653.5,-5262.0,-5262.0,21784.0,124250.0,135613.5,38453.5,-5262.0,-5262.0,16466.0,1.016184884071063,1,-3589.0,-2151.0,478.0,-3589.0,71179.5,55846.0,66628.0,11464.0,4560.0,5760.0,0,13,4,FAIL
hy_extblock_hard_200_800_pos1,192386.5,-6529.0,-6529.0,20517.0,122983.0,134346.5,37186.5,-6529.0,-6529.0,16666.0,1.016184884071063,1,-3881.0,-3405.0,757.0,-3881.0,69925.5,56125.0,66336.0,10210.0,4839.0,5468.0,0,13,4,FAIL
maxraw_ref,201435.5,2520.0,0.0,27046.0,129752.0,137395.5,34235.5,-3480.0,-9480.0,16402.0,1.0,1,0.0,0.0,0.0,2520.0,73330.5,55368.0,72737.0,13615.0,4082.0,9349.0,0,13,2,REFERENCE
pre_rebid_ref,193909.5,-5006.0,0.0,27046.0,125266.0,137869.5,42709.5,-3006.0,-1006.0,16402.0,1.0,0,-5006.0,0.0,0.0,-5006.0,73330.5,55368.0,65211.0,13615.0,4082.0,9349.0,0,13,2,REFERENCE
vvwide_ref,180956.5,-17959.0,0.0,27046.0,124293.0,140756.5,88936.5,-119.0,45221.0,16402.0,1.0,0,-14906.0,-1936.0,-1117.0,-14906.0,71394.5,54251.0,55311.0,13615.0,4082.0,9349.0,0,13,2,REFERENCE
hy_extblock_edge1_300_700_pos1,198915.5,0.0,0.0,27046.0,129512.0,140875.5,43715.5,0.0,0.0,16402.0,1.0,0,0.0,0.0,0.0,0.0,73330.5,55368.0,70217.0,13615.0,4082.0,9349.0,0,13,2,WATCH
