variant,day,mtm,settle,slice,post100,mdd,peak_ts,trough_ts,stress100,stress200,end_vv,end_v5,end_v52,end_v53,end_v54,trades,hy_pnl,end_hy
balanced_ship,1,58940.5,73330.5,3417.0,55523.5,-16402.0,701500,733900,60230.5,32370.5,-115,0,0,-200,-120,1426,13615.0,0
balanced_ship,2,37388.0,55368.0,10746.0,26642.0,-13284.0,254900,266400,28268.0,-11192.0,-200,0,-80,-200,-120,1213,4082.0,13
balanced_ship,3,60667.0,70217.0,13320.5,47346.5,-14629.5,935700,949400,52377.0,22537.0,200,0,-140,-120,-120,1222,9349.0,2
maxraw_ref,1,58940.5,73330.5,3417.0,55523.5,-16402.0,701500,733900,60230.5,32370.5,-115,0,0,-200,-120,1426,13615.0,0
maxraw_ref,2,37388.0,55368.0,10746.0,26642.0,-13284.0,254900,266400,28268.0,-11192.0,-200,0,-80,-200,-120,1213,4082.0,13
maxraw_ref,3,60907.0,72737.0,13320.5,47586.5,-14629.5,935700,949400,48897.0,13057.0,200,0,-200,-120,-120,1218,9349.0,2
pre_rebid_ref,1,58940.5,73330.5,3417.0,55523.5,-16402.0,701500,733900,60230.5,32370.5,-115,0,0,-200,-120,1426,13615.0,0
pre_rebid_ref,2,37388.0,55368.0,10746.0,26642.0,-13284.0,254900,266400,28268.0,-11192.0,-200,0,-80,-200,-120,1213,4082.0,13
pre_rebid_ref,3,56421.0,65211.0,13320.5,43100.5,-13069.5,935700,949400,49371.0,21531.0,200,0,-120,-120,-120,1179,9349.0,2
vvwide_ref,1,59044.5,71394.5,3417.0,55627.5,-16402.0,701500,733900,58294.5,38294.5,-115,0,0,-200,0,1433,13615.0,0
vvwide_ref,2,37871.0,54251.0,10746.0,27125.0,-13284.0,254900,266400,27151.0,-4669.0,-200,0,-80,-200,-40,1223,4082.0,13
vvwide_ref,3,54861.0,55311.0,13320.5,41540.5,-13069.5,935700,949400,55311.0,55311.0,200,0,0,0,0,1197,9349.0,2
hy_extblock_hard_200_700_pos1,1,56789.5,71179.5,3417.0,53372.5,-16466.0,623800,733900,58079.5,30219.5,-115,0,0,-200,-120,1359,11464.0,0
hy_extblock_hard_200_700_pos1,2,37866.0,55846.0,10746.0,27120.0,-13499.0,254900,266400,28746.0,-10714.0,-200,0,-80,-200,-120,1138,4560.0,13
hy_extblock_hard_200_700_pos1,3,57078.0,66628.0,13320.5,43757.5,-14588.5,935700,949400,48788.0,18948.0,200,0,-140,-120,-120,1155,5760.0,4
hy_extblock_edge2_200_700_pos1,1,58427.5,72817.5,3417.0,55010.5,-16270.0,702400,733900,59717.5,31857.5,-115,0,0,-200,-120,1418,13102.0,0
